Hostname,OS,Username,Domain,BiosVersion,Serial,Processor,Software.DisplayName,Software.DisplayVersion,Software.Publisher,Software.InstallDate
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Adobe Acrobat Reader DC - Fran�ais,20.013.20074,Adobe Systems Incorporated,20201209
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Adobe Refresh Manager,1.8.0,Adobe Systems Incorporated,20201126
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,ClickOnce Bootstrapper Package for Microsoft .NET Framework,4.8.04119,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Cyberpunk 2077,1.1,GOG.com,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Dropbox,114.4.426,"Dropbox, Inc.",
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Dropbox Update Helper,1.3.415.1,"Dropbox, Inc.",20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Entity Framework 6.2.0 Tools  for Visual Studio 2019,6.2.0.0,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Epic Games Launcher,1.1.291.0,"Epic Games, Inc.",20200929
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,GOG GALAXY,,GOG.com,20201210
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,icecap_collection_neutral,16.8.30509,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,icecap_collectionresources,16.8.30607,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,icecap_collectionresourcesx64,16.8.30530,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Intel(R) Dynamic Tuning,8.7.10400.15556,Intel Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Intel(R) Dynamic Tuning Technology,8.7.10400.15556,Intel,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,IntelliTraceProfilerProxy,15.0.18198.01,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,KeePass Password Safe 2.47,2.47,Dominik Reichl,20210116
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,K-Lite Mega Codec Pack 15.9.0,15.9.0,KLCP,20201226
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Launcher Prerequisites (x64),1.0.0.0,"Epic Games, Inc.",
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Core Runtime - 3.1.11 (x86),24.108.29516,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4 Multi-Targeting Pack,4.0.30319,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.5 Multi-Targeting Pack,4.5.50710,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.5.1 Multi-Targeting Pack,4.5.50932,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.5.2 Multi-Targeting Pack,4.5.51651,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.6 Targeting Pack,4.6.00081,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.6.1 Targeting Pack,4.6.01055,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.7.2 Targeting Pack,4.7.03062,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.7.2 Targeting Pack (Fran�ais),4.7.03062,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.8 SDK,4.8.03928,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Framework 4.8 SDK (Fran�ais),4.8.03761,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Host FX Resolver - 5.0.2 (x86),40.8.29611,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft .NET Runtime - 5.0.2 (x86),40.8.29611,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft ASP.NET Core 3.1.11 Shared Framework (x86),3.1.11.20569,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft ASP.NET Core 5.0.2 Shared Framework (x86),5.0.2.20613,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft ASP.NET Diagnostic Pack for Visual Studio,16.8.557.25636,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft ASP.NET Web Tools Packages 16.0 - ENU,1.0.21125.0,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft ASP.NET Web Tools Packages 16.0 - FRA,1.0.21125.0,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Azure Storage Emulator - v5.10,5.10.19227.2113,Microsoft Corporation,2021-01-22
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Azure Storage Emulator - v5.10,5.10.19227.2113,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Azure Storage Explorer version 1.17.0,1.17.0,Microsoft Corporation,20210118
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Edge,88.0.705.50,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Edge Update,1.3.139.71,,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft NetStandard SDK,15.0.51105,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft SQL Server Compact 3.5 SP2 ENU,3.5.8080.0,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft System CLR Types pour SQL Server 2019 CTP2.2,15.0.1200.24,Microsoft Corporation,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft TestPlatform SDK Local Feed,16.6.0.4,Microsoft,20210122
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319,10.0.30319,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,11.0.61030.0,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,11.0.61030.0,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030,11.0.61030,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,12.0.30501.0,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,12.0.30501.0,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005,12.0.21005,Microsoft Corporation,20201102
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.28.29325,14.28.29325.2,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.28.29325,14.28.29325.2,Microsoft Corporation,
MDIJOUX-G5,Microsoft Windows�10 Famille 10.0.19042.0,Mathieu,WORKGROUP,1.7.1,82R0303,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,Microsoft Visual C++ 2019 X86 Additional Runtime - 14.28.29325,14.28.29325,Microsoft Corporation,20201202
